gene	ensembl_id	phenotype	trait_type	n_cases	burden_set	P_SKATO	P_Burden	P_SKAT	BETA	n_variants
TMEM67	ENSG00000164953	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	0.467211502646634	0.790152835763533	0.288198096021733	0.00433551418268517	86
ANKS6	ENSG00000165138	N20 calculus of kidney and ureter	icd_first_occurrence	5879	pLoF	0.469093932293288	0.28755734935704	0.985342286338724	-0.0249643987634897	50
RPGRIP1L	ENSG00000103494	N20 calculus of kidney and ureter	icd_first_occurrence	5879	pLoF	0.471094137139125	0.282789511064636	0.956210252541856	-0.0161417190553396	96
AHI1	ENSG00000135541	Creatinine	continuous	376624	pLoF	0.482634255576015	0.987798401894902	0.296322532174569	-7.38620221932723e-06	99
NPHP1	ENSG00000144061	N23 unspecified renal colic	icd_first_occurrence	4304	pLoF	0.484062187588115	0.957103491185026	0.299782578336273	0.00143363090862354	37
CEP290	ENSG00000198707	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	0.485037257900148	0.295630589201775	0.99999816818345	-0.0252007223049398	253
IFT122	ENSG00000163913	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	0.485108731893941	0.858653256234463	0.304221702870584	-0.00313081902571746	101
ANKS6	ENSG00000165138	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	0.488008530435686	0.301688950792205	1.0	-0.039943008028889	50
TMEM67	ENSG00000164953	N17 acute renal failure	icd_first_occurrence	7312	pLoF	0.488959521334564	0.303778696998065	0.384614357026973	-0.00972820446777642	86
CEP290	ENSG00000198707	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	0.48913800403016	0.298222758884056	1.0	-0.0402423135549437	253
BBS2	ENSG00000125124	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	0.490041632989951	0.320697475065529	0.999938713229593	-0.0403216986196795	63
ALG9	ENSG00000086848	Microalbumin in urine	continuous	119013	pLoF	0.490420771511069	0.726751345195207	0.30854999437284	0.00196751655992739	46
BBIP1	ENSG00000214413	Creatinine	continuous	376624	pLoF	0.490768301140698	0.3659459585374	0.493623313742969	-0.00382004178803632	8
