disease_id	has_chd	has_kidney	has_ckd	n_terms	n_systems
OMIM:193900	0	0	0	3	1
OMIM:194050	1	1	1	107	17
OMIM:194070	0	0	0	3	2
OMIM:194071	0	0	0	3	2
OMIM:194072	0	0	1	15	5
OMIM:194080	0	1	1	26	6
OMIM:194190	1	0	0	93	15
OMIM:194200	0	0	0	14	3
OMIM:194300	0	0	0	10	3
OMIM:194380	0	0	0	14	8
OMIM:200100	0	0	0	9	5
OMIM:200110	0	0	0	40	12
OMIM:200150	0	0	0	39	7
OMIM:200500	0	0	0	16	2
OMIM:200600	0	0	0	44	9
OMIM:200610	0	0	0	28	8
OMIM:200700	0	0	0	26	4
OMIM:200990	1	0	0	82	11
OMIM:201000	1	1	0	68	13
OMIM:201100	0	0	0	27	12
OMIM:201250	0	0	0	18	4
OMIM:201300	0	0	0	24	8
OMIM:201400	0	0	0	9	5
OMIM:201450	0	0	0	19	6
OMIM:201470	1	0	0	24	9
OMIM:201475	1	0	0	32	11
OMIM:201710	0	0	0	5	3
OMIM:201750	0	1	0	74	14
OMIM:201810	0	0	0	22	3
OMIM:201910	0	0	0	13	7
OMIM:202010	0	0	0	21	7
OMIM:202110	0	0	0	9	5
OMIM:202200	0	0	0	16	7
OMIM:202300	0	0	0	3	3
OMIM:202370	0	0	0	18	7
OMIM:202400	0	0	0	22	7
OMIM:202650	1	0	0	25	8
OMIM:202700	0	0	0	12	6
OMIM:203100	0	0	0	18	3
OMIM:203200	0	0	0	15	2
OMIM:203290	0	0	0	6	2
OMIM:203300	1	0	1	25	11
OMIM:203400	0	0	0	14	6
OMIM:203450	0	0	0	27	6
OMIM:203500	1	1	0	28	11
OMIM:203650	0	0	0	4	2
OMIM:203655	0	0	0	7	2
OMIM:203700	0	0	0	50	9
OMIM:203740	0	0	0	19	3
OMIM:203750	0	0	0	7	4
OMIM:203780	0	1	1	16	6
OMIM:203800	1	1	1	56	17
OMIM:204000	0	0	0	21	8
OMIM:204100	0	0	0	18	3
OMIM:204200	1	0	0	32	7
OMIM:204300	0	0	0	23	4
OMIM:204500	0	0	0	15	4
OMIM:204650	0	0	0	6	2
OMIM:204690	0	1	1	13	5
OMIM:204700	0	0	0	7	2
OMIM:204750	0	0	0	9	5
OMIM:204870	0	0	0	8	2
OMIM:205100	0	0	0	52	9
OMIM:205400	1	0	0	25	9
OMIM:205950	0	0	0	8	2
OMIM:206100	0	0	0	8	3
OMIM:206200	0	0	0	5	2
OMIM:206500	0	0	0	4	1
OMIM:206700	0	0	0	59	10
OMIM:206800	0	0	0	3	2
