gene	ensembl_id	phenotype	trait_type	n_cases	burden_set	P_SKATO	P_Burden	P_SKAT	BETA	n_variants
TMEM237	ENSG00000155755	N25 impaired renal tubular function	icd_first_occurrence	160	missense|LC	0.530946882044775	0.331717806610005	1.0	-0.0400413408524331	181
ALG9	ENSG00000086848	N04 nephrotic syndrome	icd_first_occurrence	242	missense|LC	0.531084244084823	0.352364094099216	0.455315306462952	0.0209014628365379	291
BBS7	ENSG00000138686	N19 unspecified renal failure	icd_first_occurrence	2345	missense|LC	0.53372419066386	0.336590154824691	0.808633382235937	-0.00747285730024265	259
BBS10	ENSG00000179941	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	missense|LC	0.536348001569933	0.623490482103316	0.351130283834084	-0.00554961490103794	369
CEP290	ENSG00000198707	Microalbumin in urine	continuous	119013	missense|LC	0.538622266429082	0.342299417944898	0.43414267691628	0.000398022392272342	1033
TMEM237	ENSG00000155755	N18 chronic renal failure	icd_first_occurrence	14086	missense|LC	0.539518755043297	0.338523692564187	0.962806662262806	-0.0042943288875547	181
CEP290	ENSG00000198707	N19 unspecified renal failure	icd_first_occurrence	2345	missense|LC	0.539683597112867	0.343102187518284	0.586571617820126	-0.00287293220371695	1033
BBS5	ENSG00000163093	I12 hypertensive renal disease	icd_first_occurrence	1513	missense|LC	0.542109838842249	0.581462073123574	0.387356030734268	0.00360409174461923	150
TMEM216	ENSG00000187049	C64 Malignant neoplasm of kidney	icd10	985	missense|LC	0.542515113141556	0.359727194165803	0.985404644520212	-0.0187993718641819	80
CC2D2A	ENSG00000048342	C64 Malignant neoplasm of kidney	icd10	985	missense|LC	0.542679816122999	0.339232181865307	0.930758945577572	-0.00694643334431505	757
MKS1	ENSG00000011143	Q61 cystic kidney disease	icd_first_occurrence	735	missense|LC	0.544033784779071	0.349741166898679	0.352483925740494	0.00791192209069843	315
BBS1	ENSG00000174483	N23 unspecified renal colic	icd_first_occurrence	4304	missense|LC	0.544344782827228	0.352887759861505	0.618764439416127	0.00401485416557619	318
BBS12	ENSG00000181004	Creatinine	continuous	376624	missense|LC	0.544579765150871	0.358998298714568	0.803213529457316	-0.000301980286354705	387
NEK8	ENSG00000160602	Creatinine	continuous	376624	missense|LC	0.548060826013443	0.801534192685635	0.338714537457825	-0.000102325869381705	381
IFT140	ENSG00000187535	N23 unspecified renal colic	icd_first_occurrence	4304	missense|LC	0.550051771996549	0.550014751392098	0.34456148475623	0.00149737835119709	974
BBS7	ENSG00000138686	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	missense|LC	0.550341835942381	0.350051776430197	0.999771886481561	-0.0152648592426215	259
IFT172	ENSG00000138002	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	missense|LC	0.550797969740737	0.34975320756479	0.573147328752479	0.00243141984627314	835
DYNC2I1	ENSG00000126870	N25 impaired renal tubular function	icd_first_occurrence	160	missense|LC	0.556294458970464	0.494040769610168	0.353549943197939	0.0102883433820465	604
ALG9	ENSG00000086848	I12 hypertensive renal disease	icd_first_occurrence	1513	missense|LC	0.556537536545518	0.376801486434248	0.89754716176035	-0.00817488421790394	291
BBS12	ENSG00000181004	C64 Malignant neoplasm of kidney	icd10	985	missense|LC	0.558612937516837	0.598441489124787	0.370833315159105	0.00431258928045111	387
BBIP1	ENSG00000214413	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	missense|LC	0.561384841771977	0.801503939438162	0.381147375977625	0.00594174962662874	25
PKD2	ENSG00000118762	C64 Malignant neoplasm of kidney	icd10	985	missense|LC	0.561797613448068	0.364496040871698	0.999905915023387	-0.00701261769063212	480
BBS10	ENSG00000179941	Cystatin C	continuous	376784	missense|LC	0.561914018607328	0.372362201772895	0.616604027880411	-0.000333349039940583	369
CEP290	ENSG00000198707	N17 acute renal failure	icd_first_occurrence	7312	missense|LC	0.563166790947853	0.361912172878249	0.43953235046712	0.00158521112203135	1033
NPHP1	ENSG00000144061	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	missense|LC	0.563363354108658	0.859437184639739	0.356767071728924	0.000839578126986666	317
BBS10	ENSG00000179941	Microalbumin in urine	continuous	119013	missense|LC	0.563602958358804	0.931002419224917	0.374128534700152	6.40982141394964e-05	369
BBS12	ENSG00000181004	N04 nephrotic syndrome	icd_first_occurrence	242	missense|LC	0.564417198457581	0.716201520959975	0.372811004756313	0.00597921993603677	387
ANKS6	ENSG00000165138	Creatinine	continuous	376624	missense|LC	0.565085701980155	0.552242749269878	0.36561628924108	-0.000150924563877187	524
BBS5	ENSG00000163093	N19 unspecified renal failure	icd_first_occurrence	2345	missense|LC	0.565248492528085	0.405937429583999	0.919777035324606	0.00435022663447232	150
SDCCAG8	ENSG00000054282	N17 acute renal failure	icd_first_occurrence	7312	missense|LC	0.566797408126896	0.367444228297021	0.947395207763428	-0.00362813908692675	332
PKD2	ENSG00000118762	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	missense|LC	0.570732561081783	0.670892535029211	0.371909804370409	0.00144355782566372	480
TMEM216	ENSG00000187049	Creatinine	continuous	376624	missense|LC	0.570909633659645	0.446573844248899	0.383548041722801	0.00062288935472934	80
TMEM216	ENSG00000187049	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	missense|LC	0.572135737601396	0.38532829000227	0.997960127784908	-0.0394940244538065	80
NEK8	ENSG00000160602	N04 nephrotic syndrome	icd_first_occurrence	242	missense|LC	0.576187565763101	0.361100055063317	0.992973536687163	-0.0186543239683296	381
BBS1	ENSG00000174483	N18 chronic renal failure	icd_first_occurrence	14086	missense|LC	0.576532992769118	0.380241891117588	0.860934546027695	-0.00216092369549064	318
BBS7	ENSG00000138686	Q63 other congenital malformations of kidney	icd_first_occurrence	452	missense|LC	0.577058916345455	0.569046231152065	0.371040129934467	-0.00993046699369499	259
BBS4	ENSG00000140463	I12 hypertensive renal disease	icd_first_occurrence	1513	missense|LC	0.577338911428462	0.370770599347299	0.465196376350484	-0.00946425817480378	283
BBS4	ENSG00000140463	Urea	continuous	376551	missense|LC	0.577576409005097	0.474962526895933	0.371806520427176	0.000447519574531818	283
BBS1	ENSG00000174483	Microalbumin in urine	continuous	119013	missense|LC	0.577732551375851	0.381115282067349	0.777010117706908	-0.000710642432123572	318
TMEM67	ENSG00000164953	Q61 cystic kidney disease	icd_first_occurrence	735	missense|LC	0.578314247599251	0.663482299819701	0.396407306410433	0.00395773528924758	412
BBS9	ENSG00000122507	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	missense|LC	0.579993932954641	0.432677154563886	0.379538868090375	0.00759286382911301	436
AHI1	ENSG00000135541	Cystatin C	continuous	376784	missense|LC	0.582396217480561	0.755391437173517	0.384063033517419	-8.45642366829405e-05	604
ZNF423	ENSG00000102935	C64 Malignant neoplasm of kidney	icd10	985	missense|LC	0.586905998436596	0.370970730879439	0.486561446410785	-0.00647627324006451	669
MKS1	ENSG00000011143	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	missense|LC	0.588114257773655	0.754207495760824	0.383950009099428	-0.00497559565545727	315
MKS1	ENSG00000011143	N26 unspecified contracted kidney	icd_first_occurrence	176	missense|LC	0.588147775519838	0.385118823883054	0.993619078325133	-0.0149901042203829	315
NEK8	ENSG00000160602	N26 unspecified contracted kidney	icd_first_occurrence	176	missense|LC	0.589216671761218	0.439435687249026	0.373375069822748	0.0183820533551604	381
PKD2	ENSG00000118762	Urea	continuous	376551	missense|LC	0.589595570196842	0.477277949290271	0.387793309828237	-0.00026411006193425	480
NPHP3	ENSG00000113971	N17 acute renal failure	icd_first_occurrence	7312	missense|LC	0.590049701454763	0.394736249281563	0.741140329107924	-0.00178258322349993	626
TMEM231	ENSG00000205084	Creatinine (enzymatic) in urine	continuous	383774	missense|LC	0.590631981245388	0.418168312876233	0.874550083083228	-0.000289060286732011	204
DNAJB11	ENSG00000090520	Q63 other congenital malformations of kidney	icd_first_occurrence	452	missense|LC	0.595683464530387	0.896130620257881	0.380406512000257	0.00530687255831253	165
TTC8	ENSG00000165533	Creatinine	continuous	376624	missense|LC	0.598501359903667	0.411414543572961	0.58701567079984	0.000306101883766122	251
MKKS	ENSG00000125863	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	missense|LC	0.59851539618657	0.404702623070212	0.68694494386272	-0.00815192500322545	291
TMEM231	ENSG00000205084	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	missense|LC	0.601165276478047	0.433848979705745	0.425003617210314	0.0131136787245515	204
ALG9	ENSG00000086848	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	missense|LC	0.60131619234308	0.9368087145576	0.41216301567616	-0.00117111369545268	291
BBIP1	ENSG00000214413	N23 unspecified renal colic	icd_first_occurrence	4304	missense|LC	0.603046156682182	0.414773865994792	0.999989234508831	-0.0226284380535825	25
ANKS6	ENSG00000165138	N23 unspecified renal colic	icd_first_occurrence	4304	missense|LC	0.603408780025734	0.768678541858579	0.396505682644399	-0.000909868402200248	524
IFT122	ENSG00000163913	C64 Malignant neoplasm of kidney	icd10	985	missense|LC	0.603616346943687	0.481102597157314	0.386175660496418	0.00472299942263898	652
ZNF423	ENSG00000102935	N19 unspecified renal failure	icd_first_occurrence	2345	missense|LC	0.606756436016425	0.387532374315652	0.617544417880341	-0.00411729193514448	669
MKKS	ENSG00000125863	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	missense|LC	0.607506848294013	0.659251095443773	0.411929067323881	-0.00693689150505082	291
NPHP3	ENSG00000113971	N18 chronic renal failure	icd_first_occurrence	14086	missense|LC	0.608975318856702	0.410585009921643	0.759442576186676	-0.00126158588449366	626
BBS7	ENSG00000138686	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	missense|LC	0.613505420428106	0.398869990478251	0.58239513693008	-0.0221453234550628	259
NPHP1	ENSG00000144061	Urea	continuous	376551	missense|LC	0.61497243625896	0.39913989141628	0.939322055543799	0.000439343493905946	317
TTC8	ENSG00000165533	Q61 cystic kidney disease	icd_first_occurrence	735	missense|LC	0.615122837580164	0.425647003085485	0.715490405242183	-0.00867831686053198	251
TMEM231	ENSG00000205084	Q63 other congenital malformations of kidney	icd_first_occurrence	452	missense|LC	0.618628095597888	0.441322833348585	0.708199406609344	0.00863891216458432	204
PKD2	ENSG00000118762	I12 hypertensive renal disease	icd_first_occurrence	1513	missense|LC	0.620901873426293	0.955601407253068	0.413768970897526	0.000345252385169624	480
ZNF423	ENSG00000102935	N25 impaired renal tubular function	icd_first_occurrence	160	missense|LC	0.622663998443289	0.401119416891584	0.985721132741879	-0.015017326590066	669
TMEM231	ENSG00000205084	N26 unspecified contracted kidney	icd_first_occurrence	176	missense|LC	0.627110794304405	0.888532733460691	0.449595673861746	0.0024981452938859	204
BBS2	ENSG00000125124	I12 hypertensive renal disease	icd_first_occurrence	1513	missense|LC	0.63029414079783	0.397834608207757	0.997214176946913	-0.00924690084539727	339
TMEM216	ENSG00000187049	N25 impaired renal tubular function	icd_first_occurrence	160	missense|LC	0.634351504522033	0.438684474908465	0.999861125083319	-0.0395148884787288	80
NPHP3	ENSG00000113971	Q61 cystic kidney disease	icd_first_occurrence	735	missense|LC	0.634713397399374	0.432697150766281	0.574909008888013	0.00503852428120798	626
BBS1	ENSG00000174483	N20 calculus of kidney and ureter	icd_first_occurrence	5879	missense|LC	0.634787254003778	0.428443069422918	0.567881750366365	-0.0029280673936653	318
ALG9	ENSG00000086848	N19 unspecified renal failure	icd_first_occurrence	2345	missense|LC	0.636132275760165	0.447370607020314	0.944981083753531	-0.00562682362895442	291
IFT172	ENSG00000138002	Q63 other congenital malformations of kidney	icd_first_occurrence	452	missense|LC	0.638717629444404	0.50682908469206	0.419986957883801	0.00579031922166626	835
TMEM237	ENSG00000155755	N23 unspecified renal colic	icd_first_occurrence	4304	missense|LC	0.639508362746499	0.683435126004225	0.419081600048378	0.00322365804432489	181
LZTFL1	ENSG00000163818	Q63 other congenital malformations of kidney	icd_first_occurrence	452	missense|LC	0.64031080970224	0.991989344443457	0.425487010041065	0.000185106326561346	106
AHI1	ENSG00000135541	Microalbumin in urine	continuous	119013	missense|LC	0.641188217563512	0.848736946902738	0.433617921350019	-0.0001033305471703	604
NPHP3	ENSG00000113971	N26 unspecified contracted kidney	icd_first_occurrence	176	missense|LC	0.641242779583847	0.438773380371117	0.997211485128756	-0.0102976937105972	626
BBS1	ENSG00000174483	Q63 other congenital malformations of kidney	icd_first_occurrence	452	missense|LC	0.642729821942418	0.753780303555019	0.435091067404856	0.00414080878044243	318
